cell type	official gene symbol	nicknames
Dopaminergic neurons	SMAD3	JV15-2|HsT17436|MADH3
Dopaminergic neurons	PITX3	ASMD
Ductal cells	CFTR	ABC35|TNR-CFTR|CFTR/MRP|CF|ABCC7
Ductal cells	HNF1B	LFB3|VHNF1|HNF1beta|MODY5|TCF2
Ductal cells	KRT20	CK20|K20|MGC35423
Ductal cells	MUC1	CD227|PEM|ADMCKD|ADMCKD1|MCKD|MCKD1
Ductal cells	ONECUT1	HNF-6|HNF6|HNF6A
Ductal cells	AMBP	UTI|EDC1|HI30|IATIL|ITILC|ITI|ITIL
Ductal cells	HHEX	HEX|HOX11L-PEN|PRHX
Ductal cells	ANXA4	ANX4
Ductal cells	SPP1	BSPI|ETA-1|BNSP|OPN
Ductal cells	PDX1	IDX-1|STF-1|PDX-1|MODY4|IPF1
Ductal cells	SERPINA3	AACT
Ductal cells	CFB	H2-Bf|BFD|BF
Ductal cells	GDF15	PLAB|MIC-1|PDF|NAG-1|PTGFB
Ductal cells	AKR1C3	KIAA0119|DDX|HAKRB|PGFS|HSD17B5
Ductal cells	MMP7	PUMP-1|MPSL1
Ductal cells	DEFB1	HBD-1|DEFB-1|DEFB101|HBD1|BD1|MGC51822
Ductal cells	SERPING1	C1IN|C1-INH|HAE1|HAE2|C1NH
Ductal cells	TSPAN8	CO-029|TM4SF3
Ductal cells	CLDN10	OSP-L|CPETRL3
Ductal cells	SLPI	HUSI-I|BLPI|HUSI|WAP4|WFDC4
Ductal cells	SERPINA5	PAI3|PROCI|PLANH3|PCI
Ductal cells	PIGR	NA
Ductal cells	CLDN1	SEMP1|ILVASC
Ductal cells	LGALS4	GAL4
Ductal cells	PERP	PIGPC1|dJ496H19.1|KCP1|THW|KRTCAP1
Ductal cells	PDLIM3	NA
Ductal cells	WFDC2	HE4|WAP5|dJ461P17.6|EDDM4
Ductal cells	SLC3A1	CSNU1|D2H|RBAT|ATR1|NBAT
Ductal cells	AQP1	CHIP28|CO
Ductal cells	ALDH1A3	RALDH3|ALDH6
Ductal cells	VTCN1	B7-H4|FLJ22418|B7S1|B7X|B7H4
Ductal cells	KRT19	K19|CK19|K1CS|MGC15366
Ductal cells	TFF1	D21S21|pS2|pNR-2|HP1.A|BCEI
Ductal cells	TFF2	SML1
Ductal cells	KRT7	CK7|K2C7
Ductal cells	CLDN4	CPE-R|WBSCR8|hCPE-R|CPETR|CPETR1
Ductal cells	LAMB3	nicein-125kDa|kalinin-140kDa|BM600-125kDa|LAMNB1
Ductal cells	TACSTD2	TROP2|GA733-1|EGP-1|M1S1
Ductal cells	CCL2	MCP1|MCP-1|MCAF|SMC-CF|GDCF-2|HC11|MGC9434|SCYA2
Ductal cells	DCDC2	KIAA1154|DCDC2A|NPHP19|DFNB66
Ductal cells	CXCL2	SCYB2|GROb|MIP-2a|MGSA-b|CINC-2a|GRO2
Ductal cells	CTSH	ACC-4|ACC-5|ACC4|ACC5|CPSB
Ductal cells	S100A10	42C|CLP11|ANX2LG|CAL1L
Embryonic stem cells	MYC	c-Myc|bHLHe39|MYCC
Embryonic stem cells	FOXD3	Genesis|HFH2
Embryonic stem cells	POU5F1	Oct4|MGC22487|OTF3
Embryonic stem cells	FUT4	FUC-TIV|CD15|ELFT
Embryonic stem cells	CD24	CD24A
Embryonic stem cells	ITGA4	CD49d|CD49D
Embryonic stem cells	CDH1	uvomorulin|CD324|UVO
Embryonic stem cells	ABCG2	EST157481|MXR|BCRP|ABCP|CD338
Embryonic stem cells	PODXL	PCLP|Gp200|PC
Embryonic stem cells	ALPP	PALP
Embryonic stem cells	ZIC1	ZIC|ZNF201
Embryonic stem cells	PRDM5	NA
Embryonic stem cells	ANO6	DKFZp313M0720|TMEM16F
Embryonic stem cells	CDK8	K35
Embryonic stem cells	SLC46A2	Ly110|TSCOT
Embryonic stem cells	TEX19	FLJ35767
Embryonic stem cells	ZSCAN10	ZNF206
Embryonic stem cells	KCNIP3	DREAM|KCHIP3|CSEN
Embryonic stem cells	PCGF2	MEL-18|ZNF144|RNF110
Embryonic stem cells	NANOG	FLJ12581|FLJ40451
Embryonic stem cells	GAL	GMAP|GAL-GMAP|GLNN|GALN
Embryonic stem cells	PITX2	IGDS|Brx1|Otlx2|IRID2|IHG2|RIEG|RIEG1|RGS
Embryonic stem cells	BCL3	D19S37|BCL4
Embryonic stem cells	SALL4	dJ1112F19.1|ZNF797
Embryonic stem cells	DPPA5A	NA
Embryonic stem cells	TDGF1	CRIPTO|Cripto-1
Embryonic stem cells	HOXB5	HOX2A
Embryonic stem cells	SUMO2	SMT3B|SMT3H2
Embryonic stem cells	BNIP3	Nip3
Embryonic stem cells	GJC1	CX45|GJA7
Embryonic stem cells	TRIM6	RNF89
Embryonic stem cells	PUM2	PUMH2|KIAA0235
Embryonic stem cells	GJB4	CX30.3
Embryonic stem cells	SOX15	SOX27|SOX26|SOX20
Embryonic stem cells	UTF1	NA
Embryonic stem cells	GJB1	CX32|CMTX1|CMTX
Embryonic stem cells	LMNA	LMN1|CMD1A|LGMD1B
Embryonic stem cells	FBXO15	MGC39671|FBX15
Embryonic stem cells	PML	MYL|TRIM19|RNF71
Embryonic stem cells	THY1	CD90
Embryonic stem cells	KIT	CD117|SCFR|C-Kit|PBT
Embryonic stem cells	EPCAM	Ly74|TROP1|GA733-2|EGP34|EGP40|EGP-2|KSA|CD326|Ep-CAM|HEA125|KS1/4|MK-1|MH99|MOC31|323/A3|17-1A|TACST-1|CO-17A|M4S1|MIC18|TACSTD1
Embryonic stem cells	CD9	BA2|P24|TSPAN29|MRP-1|MIC3
Embryonic stem cells	ITGB1	CD29|GPIIA|FNRB|MSK12|MDF2
Embryonic stem cells	CD59	16.3A5|EJ16|EJ30|EL32|G344|p18-20|MIC11|MIN1|MSK21|MIN2|MIN3
Embryonic stem cells	PROM1	AC133|CD133|RP41|CORD12|PROML1|STGD4
Embryonic stem cells	PECAM1	CD31
Embryonic stem cells	ITGA6	CD49f
Embryonic stem cells	FZD1	DKFZp564G072
Embryonic stem cells	KITLG	SCF|Kitl|KL-1|FPH2|SLF|DFNA69
Embryonic stem cells	SOX2	NA
Embryonic stem cells	KLF4	EZF|GKLF
Embryonic stem cells	ZFP42	REX1|ZNF754
Embryonic stem cells	ZFX	ZNF926
Embryonic stem cells	TAF8	FLJ32821|TAF(II)43|TBN
Embryonic stem cells	HMGA2	BABL|LIPO|HMGIC
Embryonic stem cells	NACC1	NAC-1|BEND8|BTBD30|BTBD14B
Embryonic stem cells	NR6A1	GCNF1|RTR|CT150|GCNF
Embryonic stem cells	STAT3	APRF
Embryonic stem cells	LEF1	TCF1ALPHA|TCF10|TCF7L3
Embryonic stem cells	L1TD1	FLJ10884|ECAT11
Embryonic stem cells	KHDC3L	ECAT1|C6orf221
Embryonic stem cells	GDF3	NA
Embryonic stem cells	DPPA5	Esg1
Embryonic stem cells	DPPA4	FLJ10713
Embryonic stem cells	DPPA2	PESCRG1|CT100
Embryonic stem cells	DPPA3	Stella|Pgc7
Embryonic stem cells	SMAD1	MADR1|JV4-1|MADH1
Embryonic stem cells	SMAD5	Dwfc|JV5-1|MADH5
Embryonic stem cells	SMAD9	SMAD8|SMAD8/9|MADH9
Embryonic stem cells	SMAD4	DPC4|MADH4
Embryonic stem cells	SMAD2	MADR2|JV18-1|MADH2
Embryonic stem cells	SMAD3	JV15-2|HsT17436|MADH3
Embryonic stem cells	CTNNB1	beta-catenin|armadillo|CTNNB
Embryonic stem cells	HHEX	HEX|HOX11L-PEN|PRHX
Embryonic stem cells	HES1	FLJ20408|HES-1|Hes1|bHLHb39|HRY
Embryonic stem cells	ESRRB	ERR2|ERRbeta|NR3B2|ERRb|ESRL2|DFNB35
Embryonic stem cells	DNMT3B	NA
Embryonic stem cells	TRIM28	TIF1B|KAP1|TF1B|RNF96|PPP1R157
Embryonic stem cells	PIWIL1	PIWI|HIWI|CT80.1
Embryonic stem cells	PIWIL2	HILI|FLJ10351|Mili|CT80
Embryonic stem cells	PIWIL4	FLJ36156|HIWI2|Miwi2
Embryonic stem cells	LIFR	CD118
Embryonic stem cells	IL6ST	CD130
Embryonic stem cells	ZSCAN4D	NA
Endothelial cells	PECAM1	CD31
Endothelial cells	ICAM1	CD54
Endothelial cells	ITGB3	CD61|GPIIIa|GP3A
Endothelial cells	SELE	ESEL|CD62E|ELAM1|ELAM
Endothelial cells	VCAM1	CD106
Endothelial cells	MCAM	MUC18|CD146
Endothelial cells	PROCR	EPCR|CCD41|CD201
Endothelial cells	TEK	TIE2|TIE-2|VMCM1|CD202b|VMCM
Endothelial cells	FLT4	VEGFR3
Endothelial cells	APLN	apelin|XNPEP2
Endothelial cells	VWF	F8VWF
Endothelial cells	NOS3	ECNOS|eNOS
Endothelial cells	THBD	CD141
Endothelial cells	PLVAP	gp68|PV-1|PV1|FELS
Endothelial cells	ACKR1	CCBP1|GPD|Dfy|CD234|FY|DARC
Endothelial cells	SLCO1C1	OATP-F|OATP1C1|OATP1|SLC21A14
Endothelial cells	TMEM100	FLJ10970|FLJ37856
Endothelial cells	ADGRF5	DKFZp564O1923|KIAA0758|GPR116
Endothelial cells	ABCB1A	NA
Endothelial cells	ABCG2	EST157481|MXR|BCRP|ABCP|CD338
Endothelial cells	PODXL	PCLP|Gp200|PC
Endothelial cells	NOSTRIN	MGC20702
Endothelial cells	MFSD2A	FLJ14490|MFSD2
Endothelial cells	ACVRL1	HHT2|HHT|ACVRLK1|ORW2
Endothelial cells	AQP1	CHIP28|CO
Endothelial cells	MYLK	smMLCK|MYLK1|MLCK1
Endothelial cells	RASIP1	FLJ20401|RAIN
Endothelial cells	FLI1	SIC-1
Endothelial cells	TIE1	JTK14|TIE
Endothelial cells	APLNR	FLJ90771|APJ|APJR|AGTRL1
Endothelial cells	NRP2	VEGF165R2
Endothelial cells	ADAMTS1	C3-C5|METH1|KIAA1346
Endothelial cells	RPRM	FLJ90327|REPRIMO
Endothelial cells	FABP4	A-FABP|aP2
Endothelial cells	GPIHBP1	LOC338328|GPI-HBP1
Endothelial cells	FHL2	SLIM3|DRAL
Endothelial cells	LOX	NA
Endothelial cells	KLK1	Klk6
Endothelial cells	ADORA2A	RDC8|ADORA2
Endothelial cells	ARAP3	FLJ21065|DRAG1|CENTD3
Endothelial cells	ARHGEF15	KIAA0915|Vsm-RhoGEF|ARGEF15|FLJ13791|MGC44868
Endothelial cells	CARD10	CARMA3|BIMP1
Endothelial cells	CLEC14A	C14orf27
Endothelial cells	DLL4	NA
Endothelial cells	ESM1	NA
Endothelial cells	EXOC3L	NA
Endothelial cells	GIMAP5	HIMAP3|IAN5|IAN4L1
Endothelial cells	GJA4	CX37
Endothelial cells	MMRN2	EndoGlyx-1|FLJ13465|EMILIN3
Endothelial cells	NOTCH4	NA
Endothelial cells	NPR1	GUCY2A|ANPa|ANPRA|NPRA
Endothelial cells	PRKCH	PKC-L|PKCL|PRKCL
Endothelial cells	RASGRP3	KIAA0846|GRP3|CalDAG-GEFIII
Endothelial cells	ROBO4	FLJ20798|MRB|ECSM4
Endothelial cells	SCARF1	SREC|KIAA0149|SREC1
Endothelial cells	SOX18	NA
Endothelial cells	SOX7	NA
Endothelial cells	SPNS2	NA
Endothelial cells	THSD1	TMTSP
Endothelial cells	APOLD1	FLJ25138|DKFZP434F0318
Endothelial cells	EMP1	TMP|CL-20
Endothelial cells	CD36	SCARB3|GPIV|GP4|GP3B
Endothelial cells	RNASE1	RAC1|RNS1
Endothelial cells	CTGF	IGFBP8|CCN2
Endothelial cells	HYAL2	LuCa-2|LUCA2
Endothelial cells	CLEC4G	UNQ431|LSECtin
Endothelial cells	GPR182	hrhAMR|G10D|AM-R|ADMR
Endothelial cells	F8	FVIII|DXS1253E|HEMA|F8C
Endothelial cells	RBP7	CRBPIV
Endothelial cells	CALCRL	CGRPR|CRLR
Endothelial cells	FOXF1	FREAC1|FKHL5
Endothelial cells	CASZ1	FLJ20321|ZNF693|castor|cst|SRG
Endothelial cells	AQP7	AQP9|AQPap|AQP7L
Endothelial cells	TCF15	EC2|PARAXIS|bHLHa40
Endothelial cells	CD300LG	Trem4|CLM9
Endothelial cells	BTNL9	FLJ32535|BTN8
Endothelial cells	MEOX2	GAX
Endothelial cells	ERG	erg-3
Endothelial cells	HEXIM1	CLP-1|MAQ1
Endothelial cells	GLYCAM1	NA
Endothelial cells	CD55	TC|CROM|DAF
Endothelial cells	MMRN1	ECM|EMILIN4|GPIa*|MMRN
Endothelial cells	C7	NA
Endothelial cells	RAMP3	NA
Endothelial cells	VEGFC	NA
Endothelial cells	GJA5	CX40
Endothelial cells	HEY1	HESR-1|CHF2|HESR1|HRT-1|CHF-2|HERP2|bHLHb31
Endothelial cells	RND1	Rho6|ARHS|RHOS
Endothelial cells	BDP1	TFIIIB150|TFC5|KIAA1689|HSA238520|KIAA1241|TFNR|TAF3B1
Endothelial cells	CD46	TRA2.10|MGC26544|MIC10
Endothelial cells	MEOX1	NA
Endothelial cells	CCL19	ELC|MIP-3b|exodus-3|CKb11|SCYA19
Endothelial cells	CLCA3A1	NA
Endothelial cells	MADCAM1	MACAM1
Endothelial cells	CYP1B1	CP1B|GLC3A
Endothelial cells	IRX3	IRX-1
Endothelial cells	BIRC2	cIAP1|hiap-2|MIHB|RNF48|c-IAP1|API1
Endothelial cells	LYVE1	LYVE-1|XLKD1
Endothelial cells	SEMA3D	coll-2|Sema-Z2
Endothelial cells	SLCO1A4	NA
Endothelial cells	EMCN	MUC14
Endothelial cells	WFDC1	PS20
Endothelial cells	ADGRL4	ETL|ELTD1
Endothelial cells	VWA1	FLJ22215|VWA-1|WARP
Endothelial cells	ECE1	ECE
Endothelial cells	PTPRB	PTPB
Endothelial cells	CLDN5	CPETRL1|AWAL|TMVCF
Endothelial cells	SDPR	NA
Endothelial cells	CAR4	NA
Endothelial cells	TBX1	VCF
Endothelial cells	SEMA7A	H-Sema-L|CD108|SEMAL
Endothelial cells	FOXF2	FREAC2|FKHL6
Endothelial cells	PDGFB	SSV|SIS
Endothelial cells	ECSCR	ECSM2|ARIA
Endothelial cells	ELK3	ERP|SAP2
Endothelial cells	CDH5	7B4|CD144
Endothelial cells	PLEC	PLTN|EBS1|PLEC1
Endothelial cells	STAB1	KIAA0246|STAB-1|FEEL-1|CLEVER-1|FELE-1|FEX1|SCARH2
Endothelial cells	TGFBR2	TBRII|TBR-ii|MFS2
Endothelial cells	CD93	C1qRP|C1qR(P)|dJ737E23.1|CDw93|ECSM3|MXRA4|C1QR1
Endothelial cells	CXCL1	SCYB1|GROa|MGSA-a|NAP-3|MGSA|GRO1|FSP
Endothelial cells	LY6C1	NA
Endothelial cells	RGS5	NA
Endothelial cells	SLC7A5	E16|D16S469E|MPE16
Endothelial cells	ENG	END|HHT1|CD105|ORW1|ORW
Endothelial cells	KDR	FLK1|VEGFR|VEGFR2|CD309
Endothelial cells	SLC2A1	DYT18|DYT9|GLUT1|GLUT|HTLVR|CSE
Endothelial cells	EGFL7	ZNEU1
Endothelial cells	FLT1	VEGFR1|FLT
Endothelial cells	EPAS1	MOP2|PASD2|HIF2A|HLF|bHLHe73
Endothelial cells	EDNRB	ETB|HSCR2|HSCR
Endothelial cells	KCNJ8	Kir6.1
Endothelial cells	CD82	R2|IA4|TSPAN27|ST6|KAI1
Endothelial cells	CHST1	KSGal6ST
Endothelial cells	PLAC8	onzin|C15
Endothelial cells	TSPAN8	CO-029|TM4SF3
Endothelial cells	ETS1	FLJ10768|ETS-1
Endothelial cells	CD34	NA
Endothelial cells	PDPN	T1A-2|Gp38|aggrus|PA2.26
Endothelial cells	PROX1	NA
Endothelial cells	EHD3	PAST3
Endothelial cells	SRGN	PPG
Endothelial cells	S100A10	42C|CLP11|ANX2LG|CAL1L
Endothelial cells	CLIC4	DKFZP566G223|CLIC4L|P64H1|huH1|p64H1
Endothelial cells	LY6A	NA
Endothelial cells	USHBP1	MCC2|AIEBP|FLJ38709
Endothelial cells	MYF6	MRF4|bHLHc4
Endothelial cells	OIT3	LZP|FLJ39116
Endothelial cells	IL1A	IL1F1|IL-1A|IL1-ALPHA|IL1
Endothelial cells	BMP2	BMP2A
Endothelial cells	C1QTNF1	CTRP1|ZSIG37|FLJ90694
Endothelial cells	PCDH12	VE-cadherin-2
Endothelial cells	DPP4	CD26|ADCP2
Endothelial cells	IGFBP7	MAC25|IGFBP-7|FSTL2
Endothelial cells	PALMD	FLJ20271|PALML|C1orf11
Endothelial cells	POSTN	OSF-2|PN|periostin
Endothelial cells	BMX	PSCTK3
Endothelial cells	SLC38A5	SN2|JM24
Endothelial cells	XDH	XOR|XO
Endothelial cells	SPARC	ON
Endothelial cells	MGLL	HU-K5|MGL
Endothelial cells	SLC9A3R2	TKA-1|NHERF-2|E3KARP
Endothelial cells	RGCC	bA157L14.2|RGC-32|RGC32|C13orf15
Endothelial cells	ICAM2	CD102
Endothelial cells	MGP	NA
Endothelial cells	SPARCL1	MAST9
Endothelial cells	TM4SF1	M3S1
Endothelial cells	ID1	dJ857M17.1.2|bHLHb24
Endothelial cells	ADIRF	APM2|AFRO|C10orf116
Endothelial cells	CD9	BA2|P24|TSPAN29|MRP-1|MIC3
Endothelial cells	SRPX	ETX1
Endothelial cells	ID3	HEIR-1|bHLHb25
Endothelial cells	CAV1	NA
Endothelial cells	GNG11	GNGT11
Endothelial cells	HSPG2	perlecan|PRCAN|SJS1
Endothelial cells	CCL14	HCC-1|HCC-3|NCC-2|SCYL2|CKb1|MCIF|SCYA14
Endothelial cells	CLEC1B	CLEC2
Endothelial cells	FCN2	P35|FCNL|EBP-37|ficolin-2
Endothelial cells	S100A13	NA
Endothelial cells	FCN3	FCNH|HAKA1
Endothelial cells	CRHBP	CRF-BP|CRFBP
Endothelial cells	IFI27	P27|FAM14D|ISG12
Endothelial cells	CCL23	Ckb-8|MPIF-1|MIP-3|CKb8|SCYA23
Endothelial cells	SGK1	SGK
Endothelial cells	DNASE1L3	DNAS1L3|LSD
Endothelial cells	LIFR	CD118
Endothelial cells	PCAT19	LINC01190|LOC100505495
Endothelial cells	CDKN1C	P57|BWCR|BWS
Endothelial cells	INMT	NA
Endothelial cells	PTGDS	L-PGDS
Endothelial cells	TIMP3	NA
Endothelial cells	GPM6A	GPM6
Endothelial cells	FAM167B	MGC10820|C1orf90
Endothelial cells	LTC4S	MGC33147
Endothelial cells	STAB2	DKFZP434E0321|FELL|STAB-2|HARE|FEEL-2|SCARH1
Endothelial cells (aorta)	ITGA5	CD49e|FNRA
Endothelial cells (aorta)	TMTC2	DKFZp762A217
Endothelial cells (aorta)	NR1D1	ear-1|hRev|Rev-ErbAalpha|REVERBA|REVERBalpha|THRAL
Endothelial cells (aorta)	HFE	HLA-H
Endothelial cells (aorta)	PKN3	PKNbeta|UTDP4-1
Endothelial cells (aorta)	SULT1A1	P-PST|STP1
Endothelial cells (aorta)	TMTC1	ARG99|OLF|FLJ31400|FLJ41625
Endothelial cells (aorta)	SHE	NA
Endothelial cells (aorta)	ITGBL1	TIED
Endothelial cells (aorta)	GRASP	Tamalin
Endothelial cells (aorta)	ENPP4	NPP4|KIAA0879
Endothelial cells (aorta)	ARHGEF15	KIAA0915|Vsm-RhoGEF|ARGEF15|FLJ13791|MGC44868
Endothelial cells (aorta)	TMEM184B	HS5O6A|DKFZP586A1024|FM08|C22orf5
Endothelial cells (aorta)	FOXC2	MFH-1|FKHL14
Endothelial cells (aorta)	DHH	HHG-3|MGC35145
Endothelial cells (aorta)	DENND5B	MGC24039
Endothelial cells (aorta)	KAZALD1	FKSG40|FKSG28
Endothelial cells (aorta)	FGD5	ZFYVE23|FLJ39957|FLJ00274
Endothelial cells (aorta)	FAS	CD95|APO-1|FAS1|APT1|TNFRSF6
Endothelial cells (aorta)	ITGB4	CD104
Endothelial cells (aorta)	EMILIN1	DKFZp586M121|gp115
Endothelial cells (aorta)	MICAL2	KIAA0750
Endothelial cells (aorta)	NKX2-3	NKX2.3|CSX3|NKX4-3|NKX2C
Endothelial cells (aorta)	STXBP6	amisyn|HSPC156
Endothelial cells (aorta)	SYNPO	KIAA1029
Endothelial cells (aorta)	ATP2A3	SERCA3
Endothelial cells (aorta)	GIMAP4	HIMAP4|FLJ11110|IMAP4|IAN1
Endothelial cells (aorta)	SQRDL	NA
Endothelial cells (aorta)	CMKLR1	RVER1
Endothelial cells (aorta)	ITGA9	RLC|ITGA4L|ALPHA-RLC
Endothelial cells (aorta)	SMAD6	HsT17432
Endothelial cells (aorta)	EFNB2	LERK5|Htk-L|HTKL|MGC126226|MGC126227|MGC126228|EPLG5
Endothelial cells (aorta)	LOX	NA
Endothelial cells (aorta)	FZD4	CD344
Endothelial cells (aorta)	NTN1	NTN1L
Endothelial cells (aorta)	NPR1	GUCY2A|ANPa|ANPRA|NPRA
Endothelial cells (aorta)	ARL4D	ARF4L
Endothelial cells (aorta)	HEY2	bHLHb32|HERP1|HESR2
Endothelial cells (aorta)	HYAL2	LuCa-2|LUCA2
Endothelial cells (aorta)	FKBP7	FKBP23
Endothelial cells (aorta)	NXN	FLJ12614|NRX
Endothelial cells (aorta)	PDIA5	FLJ30401
Endothelial cells (aorta)	APH1B	PSFL|APH-1B|DKFZp564D0372
Endothelial cells (aorta)	GSTT1	NA
Endothelial cells (aorta)	SOX18	NA
Endothelial cells (aorta)	WBP1L	FLJ20154|OPAL1|C10orf26
Endothelial cells (aorta)	LAMB2	NPHS5|LAMS
Endothelial cells (aorta)	CHST12	C4S-2|C4ST2
Endothelial cells (aorta)	P3H3	GRCB|HSU47926|LEPREL2
Endothelial cells (aorta)	KLK10	NES1
Endothelial cells (aorta)	MALL	BENE
Endothelial cells (aorta)	CLEC1A	CLEC1|MGC34328
Endothelial cells (aorta)	MARVELD1	MGC4415|GB14|FLJ23440|FLJ22343|bA548K23.8|MRVLDC1
Endothelial cells (aorta)	FAM198B	FLJ38155|DKFZp434L142|ENED|C4orf18
Endothelial cells (aorta)	THBD	CD141
Endothelial cells (aorta)	NOS3	ECNOS|eNOS
Endothelial cells (aorta)	TNS2	KIAA1075|C1-TEN|TENC1
Endothelial cells (aorta)	ATL2	ARL6IP2
Endothelial cells (aorta)	ACKR3	GPR159|CMKOR1|CXCR7
Endothelial cells (aorta)	COL4A4	CA44
Endothelial cells (aorta)	CALCRL	CGRPR|CRLR
Endothelial cells (aorta)	CAR8	NA
Endothelial cells (aorta)	COL4A3	NA
Endothelial cells (aorta)	PER3	NA
Endothelial cells (aorta)	STAB1	KIAA0246|STAB-1|FEEL-1|CLEVER-1|FELE-1|FEX1|SCARH2
Endothelial cells (aorta)	CYP1B1	CP1B|GLC3A
Endothelial cells (aorta)	EPHX2	NA
Endothelial cells (aorta)	KLK8	HNP|TADG14|ovasin|PRSS19
Endothelial cells (aorta)	SSFA2	NA
Endothelial cells (aorta)	BACE2	CEAP1|DRAP|ALP56|AEPLC
Endothelial cells (aorta)	BMP6	VGR1|VGR
Endothelial cells (aorta)	ADH1	NA
Endothelial cells (aorta)	H2-Q6	NA
Endothelial cells (aorta)	SULF1	KIAA1077|SULF-1|hSulf-1
Endothelial cells (aorta)	CPQ	LDP|PGCP
Endothelial cells (aorta)	PI16	MGC45378|dJ90K10.5|MSMBBP|CD364
Endothelial cells (aorta)	AMIGO2	ALI1|DEGA
Endothelial cells (aorta)	PTPRJ	DEP1|HPTPeta|CD148
Endothelial cells (aorta)	TRIM47	GOA|RNF100
Endothelial cells (aorta)	LMCD1	NA
Endothelial cells (aorta)	PDE3A	CGI-PDE
Endothelial cells (aorta)	BMX	PSCTK3
Endothelial cells (aorta)	PROCR	EPCR|CCD41|CD201
Endothelial cells (aorta)	SMOC1	NA
Endothelial cells (aorta)	CRACR2B	MGC45840|EFCAB4A
Endothelial cells (aorta)	GJA5	CX40
Endothelial cells (aorta)	BMP4	BMP2B
Endothelial cells (aorta)	SOD3	EC-SOD
Endothelial cells (aorta)	ADH7	ADH-4
Endothelial cells (aorta)	PCOLCE2	PCPE2
Endothelial cells (aorta)	PTGIS	PGIS|CYP8A1
Endothelial cells (aorta)	ACE	ACE1|CD143|DCP1
Endothelial cells (aorta)	GXYLT2	GLT8D4
Endothelial cells (aorta)	GKN3	NA
Endothelial cells (aorta)	CYTL1	C17|C4orf4
Endothelial cells (aorta)	EHD3	PAST3
Endothelial cells (blood brain barrier)	ABCG2	EST157481|MXR|BCRP|ABCP|CD338
Endothelial cells (blood brain barrier)	GFAP	FLJ45472
Endothelial cells (blood brain barrier)	GPR37L1	ETBR-LP-2
Endothelial cells (blood brain barrier)	SLC13A4	SUT-1|SUT1
Endothelial cells (blood brain barrier)	SLC19A1	FOLT|RFC1
Endothelial cells (blood brain barrier)	SLC23A2	SVCT2|KIAA0238|YSPL2|SLC23A1
Endothelial cells (blood brain barrier)	SLC38A3	SN1
Endothelial cells (blood brain barrier)	TNFRSF19	TAJ-alpha|TROY|TAJ|TRADE
Endothelial cells (blood brain barrier)	TNFRSF21	DR6|CD358
Endothelial cells (blood brain barrier)	FOXF2	FREAC2|FKHL6
Endothelial cells (blood brain barrier)	FOXL2	BPES1|BPES
Endothelial cells (blood brain barrier)	FOXQ1	HFH1
Endothelial cells (blood brain barrier)	LEF1	TCF1ALPHA|TCF10|TCF7L3
Endothelial cells (blood brain barrier)	PPARD	NUC1|NUCII|FAAR|NR1C2
Endothelial cells (blood brain barrier)	ZFP551	NA
Endothelial cells (blood brain barrier)	ZIC3	HTX|ZNF203|HTX1
Endothelial cells (blood brain barrier)	ALCAM	CD166|MEMD
Enteric glia cells	GFRA3	GFRa-3
Enteric glia cells	MPZ	HMSNIB|CMT2I|CMT2J|CMT1|CMT1B
Enteric glia cells	LGI4	NA
Enteric glia cells	RGS16	A28-RGS14|RGS-r
Enteric glia cells	ALDH1A1	RALDH1|PUMB1|ALDH1
Enteric glia cells	L1CAM	CD171|HSAS1|SPG1|HSAS|MIC5
Enteric glia cells	CXCL14	BRAK|NJAC|bolekine|Kec|MIP-2g|BMAC|SCYB14
Enteric glia cells	DKK3	REIC
Enteric glia cells	INTS6	DICE1|HDB|Notchl2|DBI-1|DDX26A|DDX26
Enteric glia cells	DHRS3	retSDR1|Rsdr1|RDH17|SDR16C1
Enteric glia cells	SOX10	DOM|WS4|WS2E
Enteric glia cells	GFAP	FLJ45472
Enteric glia cells	S100B	S100beta
Enteric glia cells	NOS2	iNOS|HEP-NOS|NOS2A
Enteric glia cells	FOXD3	Genesis|HFH2
Enteric glia cells	ALDH1A3	RALDH3|ALDH6
Enteric glia cells	SLC18A2	SVMT|SVAT|VMAT2
Enteric neurons	HIVEP3	KRC|KBP1|KBP-1|SHN3|FLJ16752|KIAA1555|ZAS3|Schnurri-3|ZNF40C
Enteric neurons	PLEKHA5	KIAA1686|FLJ10667
Enteric neurons	IGF2BP3	IMP-3|CT98
Enteric neurons	ARHGAP26	GRAF|KIAA0621|OPHN1L|OPHN1L1
Enteric neurons	TTBK2	KIAA0847|SCA11
Enteric neurons	ASTN1	ASTN
Enteric neurons	CACNA1E	Cav2.3|BII|CACH6|CACNL1A6
Enteric neurons	TUB	rd5
Enteric neurons	FILIP1	FILIP|KIAA1275
Enteric neurons	GCNT2	IGNT|NAGCT1|bA421M1.1|bA360O19.2|ULG3|NACGT1|II|GCNT5|CCAT
Enteric neurons	VEZT	DKFZP761C241
Enteric neurons	RET	CDHF12|RET51|CDHR16|HSCR1|MEN2A|MTC1|MEN2B
Enteric neurons	AHDC1	DJ159A19.3|RP1-159A19.1
Enteric neurons	MAP6	KIAA1878|STOP|FLJ41346|MAP6-N
Enteric neurons	RGMB	FLJ90406|DRAGON
Enteric neurons	FBXO7	FBX7|Fbx|PARK15
Enteric neurons	PPP2R5B	FLJ35411|B56B|PR61B|B56beta
